id,carat,cut,color,clarity,depth,table,x,y,z,price
4350,1.22,Premium,J,SI2,62.1,59.0,6.82,6.77,4.22,4509
25631,0.31,Premium,E,VS2,62.6,58.0,4.29,4.33,2.7,680
2941,1.22,Ideal,H,VS1,62.3,55.0,6.8,6.84,4.25,7418
16988,1.01,Premium,F,SI2,61.9,58.0,6.39,6.34,3.94,4676
9112,0.35,Premium,H,SI1,62.4,58.0,4.47,4.54,2.81,504
13368,1.05,Ideal,F,VVS1,61.6,55.0,6.57,6.53,4.04,10872
26505,1.06,Ideal,E,SI1,59.6,54.0,6.64,6.62,3.95,5250
23970,0.54,Ideal,D,SI1,61.5,56.0,5.23,5.25,3.22,1662
7596,1.2,Very Good,F,VS2,,55.0,6.75,6.8,4.26,8454
24922,0.96,Ideal,G,SI1,62.6,57.0,6.28,6.24,3.92,4355
26295,1.15,Very Good,F,SI1,62.5,59.0,6.62,6.69,4.16,6110
7398,0.34,Ideal,E,VS2,62.4,55.0,4.53,4.48,2.81,956
24945,0.9,Premium,F,SI2,61.9,62.0,6.12,6.07,3.77,3210
10601,0.43,Ideal,E,VS2,62.0,57.0,4.85,4.82,3.0,1048
10532,0.72,Ideal,H,VVS2,61.6,56.0,5.75,5.77,3.55,3334
5609,1.65,Premium,G,SI2,62.2,58.0,7.62,7.55,4.72,9970
3653,0.7,Very Good,G,VVS2,60.2,61.0,5.66,5.74,3.43,3052
17772,0.71,Very Good,D,VS1,62.5,58.0,5.68,5.71,3.56,3333
19499,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3618
5827,0.36,Ideal,E,SI1,61.9,56.0,4.53,4.58,2.82,631
755,0.31,Premium,F,VS2,61.6,58.0,4.35,4.38,2.69,625
9312,1.51,Very Good,I,SI1,61.6,58.0,7.35,7.3,4.51,9283
84,0.9,Very Good,D,SI2,63.5,58.0,6.08,6.17,3.89,3918
3050,0.9,Very Good,F,SI1,61.6,56.0,6.14,6.2,3.8,3724
21644,1.5,Very Good,E,SI1,62.0,57.0,7.25,7.33,4.52,11690
6140,1.23,Very Good,J,VS2,62.9,59.0,6.8,6.85,4.29,4896
9342,0.55,Ideal,F,VS2,61.4,57.0,5.29,5.25,3.24,1865
10900,0.74,Ideal,H,VS1,62.1,55.0,5.82,5.84,3.62,3254
3040,0.63,Ideal,D,IF,62.5,55.0,5.47,5.5,3.43,6549
25368,1.0,Premium,I,VS2,62.7,62.0,6.32,6.27,3.95,3918
14440,0.8,Ideal,F,SI1,60.1,60.0,5.98,6.03,3.61,3293
2073,0.3,Premium,E,VS2,59.9,59.0,4.38,4.33,2.61,844
23961,1.29,Premium,H,VS2,61.2,60.0,7.03,6.95,4.28,7153
15468,0.38,Good,D,VS2,64.1,55.0,4.58,4.62,2.95,809
7938,0.51,Ideal,G,VVS2,62.0,57.0,5.11,5.15,3.18,1877
17528,0.33,Ideal,D,VVS1,60.5,56.0,4.5,4.53,2.73,1257
20991,0.9,Fair,D,SI2,64.6,59.0,6.04,6.01,3.89,3847
8747,0.58,Ideal,D,SI2,61.2,57.0,5.4,5.36,3.29,1442
5279,1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,4558
18008,0.98,Premium,H,I1,59.6,60.0,6.61,6.48,3.89,2046
1782,0.54,Ideal,E,VS2,62.4,56.0,5.23,5.19,3.25,1765
10137,0.5,Good,D,VS2,63.7,56.0,5.05,5.09,3.23,1635
14799,1.64,Ideal,G,VVS2,61.8,56.0,7.59,7.6,4.69,17604
16350,0.33,Ideal,G,VVS2,61.5,56.0,4.49,4.45,2.75,965
20463,0.41,Very Good,G,VVS2,63.3,59.0,4.69,4.71,2.97,1051
20956,1.02,Fair,G,SI1,64.5,56.0,6.3,6.23,4.04,4044
7709,0.55,Premium,E,SI2,61.9,58.0,5.24,5.2,3.23,1273
11225,0.3,Ideal,I,VVS2,,56.0,4.31,4.33,2.67,529
15460,0.71,Ideal,G,VS1,,56.0,5.69,5.72,3.55,2962
11339,0.9,Good,E,IF,63.6,56.0,6.11,6.02,3.86,6804
9973,0.3,Ideal,J,VS1,59.7,57.0,4.4,4.37,2.62,506
2121,1.11,Premium,D,SI2,59.9,57.0,6.74,6.72,4.03,5134
20109,1.0,Premium,F,SI2,62.5,59.0,6.4,6.28,3.96,4200
2174,0.71,Ideal,D,SI2,61.5,56.0,5.74,5.78,3.54,2610
2286,0.5,Ideal,H,VS1,60.5,57.0,5.15,5.19,3.13,1449
10201,0.41,Ideal,F,VS2,62.3,57.0,4.78,4.75,2.97,1107
1524,1.01,Fair,G,SI2,67.1,59.0,6.27,6.19,4.18,2942
10856,0.73,Premium,J,VS2,62.8,58.0,5.77,5.71,3.6,1654
18650,1.19,Ideal,H,I1,60.3,57.0,6.83,6.93,4.15,3794
21395,0.31,Very Good,G,VS1,63.3,56.0,4.33,4.29,2.73,802
10632,0.33,Very Good,D,VS2,62.8,54.0,4.43,4.46,2.79,781
2740,0.3,Ideal,G,IF,60.9,57.0,4.29,4.32,2.62,895
21099,1.5,Very Good,E,SI1,59.6,58.0,7.38,7.41,4.41,11586
12976,0.7,Fair,D,VVS2,58.5,62.0,5.72,5.81,3.37,3296
16544,0.31,Very Good,E,VVS1,59.9,62.0,4.4,4.41,2.64,763
10162,1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,2856
21050,0.41,Ideal,D,VS1,61.3,54.0,4.83,4.8,2.95,1230
17654,1.59,Ideal,J,SI1,62.4,55.0,7.45,7.48,4.66,8176
10951,1.01,Premium,G,SI2,,60.0,6.48,6.44,3.88,4270
19678,0.33,Premium,H,VS1,62.1,59.0,4.43,4.46,2.76,579
16643,1.24,Ideal,J,VS2,61.7,55.0,6.91,6.96,4.28,5412
11558,1.24,Ideal,G,VS1,61.5,56.0,6.92,6.97,4.27,8830
1007,0.26,Very Good,E,VVS2,62.6,58.0,4.07,4.11,2.56,597
20974,0.52,Ideal,F,IF,60.6,57.0,5.22,5.21,3.16,2598
20614,1.01,Fair,E,SI2,57.1,59.0,6.65,6.69,3.81,4600
8093,0.3,Very Good,E,VS1,58.4,62.0,4.37,4.43,2.57,640
17418,0.32,Ideal,H,IF,61.9,54.2,4.38,4.42,2.72,783
24763,0.52,Premium,F,SI1,62.0,59.0,5.18,5.15,3.2,1112
2384,1.2,Premium,H,SI2,62.5,58.0,6.74,6.69,4.2,4368
5791,0.71,Very Good,F,SI1,63.0,56.0,5.65,5.72,3.58,2088
18549,1.33,Fair,F,I1,62.0,56.0,7.05,7.01,4.36,4698
10147,1.21,Very Good,H,SI1,62.8,56.0,6.8,6.83,4.28,6022
21219,0.82,Ideal,H,VS2,61.5,56.0,6.01,6.08,3.72,2804
5355,0.3,Ideal,D,VVS2,61.7,57.0,4.3,4.32,2.66,1041
165,0.5,Very Good,E,VS1,63.9,55.0,4.98,5.03,3.2,1604
10233,0.74,Very Good,H,SI2,62.8,59.0,5.72,5.77,3.61,2198
5087,2.02,Very Good,J,SI1,59.8,59.9,8.16,8.21,4.9,12598
26012,0.3,Ideal,D,SI2,61.1,58.0,4.31,4.33,2.64,413
25331,0.31,Premium,D,SI2,60.1,58.0,4.4,4.38,2.64,593
16681,0.31,Ideal,G,VS2,62.2,54.0,4.38,4.4,2.73,562
13563,1.0,Premium,D,VS1,62.7,60.0,6.36,6.31,3.97,8020
11935,0.35,Very Good,F,VVS1,61.6,56.0,4.53,4.55,2.79,966
10299,1.2,Ideal,G,SI1,62.2,58.0,6.77,6.84,4.23,6741
24327,0.3,Ideal,F,IF,61.8,56.0,4.31,4.33,2.67,886
14664,0.51,Premium,D,VS1,59.5,57.0,5.24,5.21,3.11,1873
8517,0.32,Ideal,D,VS2,61.7,57.0,4.36,4.39,2.7,758
16376,0.5,Fair,H,VS1,66.5,60.0,4.93,4.85,3.25,1155
5584,0.56,Premium,E,VVS2,61.5,58.0,5.3,5.33,3.27,2279
7107,0.41,Ideal,G,VVS1,61.8,55.0,4.76,4.79,2.95,1000
2311,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4008
18050,0.61,Very Good,F,VS2,61.8,56.0,5.42,5.46,3.36,1989
16123,0.4,Good,I,VVS1,63.9,56.0,4.68,4.64,2.98,1080
20658,0.87,Ideal,H,SI1,62.5,57.0,6.13,6.06,3.81,2923
3977,1.04,Ideal,I,VS2,61.5,57.0,6.49,6.52,4.0,5105
3065,0.51,Premium,I,SI1,62.7,59.0,5.06,5.09,3.18,984
6824,0.53,Ideal,G,VS1,61.7,55.0,5.22,5.18,3.21,1727
6745,0.3,Ideal,F,VS2,61.6,57.0,4.3,4.33,2.66,605
17282,1.53,Premium,G,SI1,61.7,59.0,7.4,7.31,4.54,9747
20336,1.01,Ideal,G,VS2,61.7,57.0,6.48,6.45,3.99,6104
22517,0.42,Ideal,F,VS1,60.9,57.0,4.88,4.84,2.96,1103
7829,0.91,Ideal,F,SI1,62.0,55.0,6.21,6.24,3.86,5176
11359,1.57,Premium,I,SI2,62.4,58.0,7.41,7.37,4.61,7976
7615,0.3,Good,F,VS1,63.7,56.0,4.28,4.26,2.72,731
5193,2.01,Ideal,E,SI2,62.2,57.0,8.04,8.09,5.02,17688
12696,0.97,Very Good,G,VVS1,61.9,54.0,6.33,6.36,3.93,7415
18213,0.83,Ideal,D,VS2,62.0,54.9,6.03,6.04,3.74,4378
19184,0.5,Ideal,G,SI1,62.5,57.0,5.09,5.05,3.17,1240
1195,0.41,Ideal,E,VVS1,61.9,55.0,4.78,4.79,2.96,1367
2813,0.38,Ideal,G,VS2,62.2,56.0,4.64,4.62,2.88,983
25185,0.74,Ideal,I,VS2,61.5,57.0,5.81,5.86,3.59,2459
23563,1.27,Premium,F,VS1,60.3,58.0,7.06,7.04,4.25,10028
11030,0.51,Ideal,G,VS1,62.7,56.0,5.08,5.1,3.19,1656
22910,1.05,Premium,G,VS2,61.8,58.0,6.59,6.52,4.05,6181
3280,1.0,Good,F,VS2,61.1,61.0,6.38,6.45,3.92,6841
4961,0.3,Very Good,D,SI1,61.0,60.0,4.3,4.35,2.64,552
3142,0.6,Ideal,F,VVS2,60.8,57.0,5.44,5.49,3.32,2856
6100,0.39,Ideal,F,VS1,60.9,56.0,4.68,4.75,2.87,894
6465,0.5,Premium,G,VS1,59.7,60.0,5.14,5.11,3.06,1746
20142,0.31,Ideal,E,VVS2,61.7,56.0,4.33,4.36,2.68,816
13463,0.9,Very Good,G,VS2,61.9,56.0,6.17,6.23,3.84,4269
20517,1.57,Ideal,H,SI1,60.5,57.0,7.6,7.57,4.59,10521
11326,0.72,Ideal,D,SI1,60.8,57.0,5.75,5.76,3.5,2757
23615,2.48,Very Good,I,SI2,63.0,62.0,8.58,8.62,5.42,17448
3773,0.53,Ideal,F,SI1,60.0,57.0,5.3,5.27,3.17,1908
14302,1.02,Very Good,D,IF,62.7,57.0,6.36,6.46,4.02,15306
26110,0.5,Ideal,F,VVS2,62.2,54.0,5.11,5.09,3.17,2160
15115,1.02,Premium,H,VS2,62.5,60.0,6.43,6.38,4.0,5312
8035,2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,11646
506,1.01,Very Good,H,SI2,63.9,56.0,6.29,6.38,4.05,4023
12427,0.42,Ideal,G,VS2,61.2,56.0,4.84,4.8,2.95,1087
24003,1.28,Very Good,I,SI2,62.6,58.0,6.87,6.89,4.32,5654
23560,0.9,Good,F,VS2,59.8,61.0,6.18,6.22,3.71,4253
18704,1.01,Very Good,D,SI2,63.5,61.0,6.37,6.33,4.03,4538
14459,0.98,Ideal,G,SI2,62.9,57.0,6.33,6.29,3.97,4116
20534,1.18,Very Good,E,I1,59.9,63.0,6.85,6.8,4.09,3278
7109,0.9,Premium,G,VS2,62.8,58.0,6.14,6.09,3.84,4137
13670,0.77,Very Good,H,VVS2,61.1,56.0,5.89,5.92,3.61,3208
10165,0.7,Very Good,F,SI1,,59.0,5.64,5.68,3.49,2313
18290,1.04,Premium,F,VS2,61.9,58.0,6.55,6.51,4.04,6908
7836,0.55,Ideal,E,SI2,62.0,56.0,5.27,5.22,3.25,1273
22958,0.42,Premium,D,VVS2,62.8,59.0,4.76,4.73,2.98,1241
22210,0.32,Ideal,E,VS2,61.3,55.0,4.41,4.43,2.71,846
1414,1.31,Premium,I,VS1,62.8,57.0,6.98,6.9,4.36,5759
23277,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6814
26374,0.7,Very Good,I,VVS2,63.4,59.0,5.6,5.57,3.54,2415
4664,1.01,Premium,G,VS2,59.0,61.0,6.62,6.56,3.89,5946
22407,1.01,Very Good,F,SI1,62.7,57.0,6.32,6.38,3.98,5174
12943,0.9,Good,D,SI2,63.5,62.0,6.09,6.13,3.88,3425
16326,0.4,Ideal,E,VVS1,61.7,57.0,4.7,4.74,2.91,1333
4272,1.7,Ideal,G,VVS1,61.0,56.0,7.67,7.62,4.66,18445
15102,1.54,Premium,G,SI1,63.0,59.0,7.31,7.26,4.59,8176
7443,0.32,Ideal,D,SI1,62.0,57.0,4.42,4.38,2.73,756
23000,2.02,Very Good,H,SI1,59.3,60.0,8.14,8.21,4.85,18236
280,0.46,Good,D,VS2,63.2,56.0,4.89,4.92,3.1,1205
11843,0.35,Ideal,E,VVS1,61.8,56.0,4.5,4.53,2.79,905
7654,1.01,Premium,G,VS2,59.2,59.0,6.59,6.52,3.88,6108
15475,0.36,Very Good,G,SI1,61.2,63.0,4.59,4.56,2.8,689
10677,1.52,Ideal,E,SI1,62.1,56.0,7.35,7.38,4.57,13280
19364,1.52,Premium,H,VS2,61.1,61.0,7.4,7.36,4.51,8825
1192,1.01,Very Good,G,IF,60.0,61.0,6.41,6.45,3.86,7974
21640,0.55,Ideal,E,SI1,60.8,56.0,5.31,5.34,3.24,1566
6084,1.01,Ideal,F,VVS2,61.8,56.0,6.49,6.46,4.0,8688
16686,0.9,Good,F,VS1,63.5,57.0,6.06,6.09,3.86,4580
19867,0.71,Good,H,SI1,63.4,54.0,5.6,5.67,3.57,2056
9655,1.06,Premium,D,SI1,61.1,59.0,6.63,6.56,4.03,6352
24810,0.47,Ideal,D,VVS1,61.9,54.0,4.98,5.0,3.09,2378
24221,0.32,Ideal,I,VS2,61.3,56.0,4.43,4.38,2.7,576
19380,2.04,Very Good,I,SI2,62.5,52.0,8.02,8.17,5.06,14477
17639,1.64,Very Good,H,SI2,60.7,59.0,7.61,7.65,4.63,9632
24011,0.55,Ideal,G,VVS1,62.6,56.0,5.24,5.27,3.29,2116
19866,0.78,Very Good,H,VS1,61.9,57.1,5.87,5.95,3.66,2854
17949,0.54,Premium,H,VS2,61.9,55.0,5.25,5.22,3.24,1389
25319,0.5,Ideal,E,SI1,61.6,57.0,5.13,5.09,3.15,1415
26370,1.54,Ideal,I,VS1,61.3,55.0,7.39,7.47,4.56,12401
7106,1.46,Premium,G,SI2,62.8,52.0,7.31,7.27,4.58,5421
15678,1.09,Ideal,G,VVS1,62.1,55.0,6.58,6.63,4.1,8778
24788,0.32,Ideal,G,SI2,61.6,56.0,4.4,4.43,2.72,459
20639,0.9,Very Good,I,VS2,59.3,59.0,6.27,6.3,3.73,3992
23338,0.9,Very Good,F,SI1,61.7,60.0,6.16,6.22,3.82,3950
22721,0.39,Ideal,E,VS1,62.0,54.0,4.68,4.71,2.91,948
5495,2.02,Ideal,H,VS2,61.6,56.0,8.17,8.12,5.02,18050
4060,0.27,Very Good,F,VVS2,61.8,57.0,4.15,4.17,2.57,682
2745,0.3,Ideal,H,VVS1,63.0,54.0,4.3,4.27,2.7,878
23185,0.5,Premium,D,VS2,59.7,57.0,5.13,5.08,3.05,1819
21723,1.55,Ideal,D,VS2,60.1,58.0,7.56,7.54,4.54,15845
1003,0.32,Ideal,G,VS2,,56.0,4.36,4.4,2.72,524
22093,0.7,Good,I,VS2,57.5,62.0,5.81,5.78,3.33,2268
16923,1.2,Ideal,J,VS1,61.0,57.0,6.81,6.89,4.18,5722
1191,0.28,Ideal,F,IF,61.9,56.0,4.18,4.21,2.59,787
4666,0.72,Very Good,J,SI1,58.3,62.0,5.87,5.93,3.44,1886
5728,0.71,Ideal,D,SI1,61.5,56.0,5.7,5.75,3.52,2719
5405,0.29,Premium,I,VS2,62.4,58.0,4.23,4.2,2.63,429
18408,0.32,Ideal,F,VVS1,62.0,56.0,4.37,4.41,2.72,867
24652,2.06,Premium,I,VS1,58.4,55.0,8.42,8.35,4.9,15393
12701,0.32,Ideal,G,VVS1,62.2,55.0,4.38,4.4,2.73,842
23914,0.41,Good,E,SI2,63.2,58.0,4.68,4.72,2.97,638
26305,1.17,Ideal,I,VS1,62.2,53.0,6.78,6.81,4.23,6013
529,1.0,Premium,H,VS2,61.3,61.0,6.44,6.38,3.93,5096
21188,0.33,Premium,E,VS2,60.7,58.0,4.47,4.49,2.72,723
16386,1.51,Ideal,F,SI1,62.6,57.0,7.31,7.25,4.56,12252
13400,0.91,Fair,D,SI1,65.2,57.0,6.08,6.04,3.95,3730
11390,1.01,Ideal,G,IF,62.8,57.0,6.42,6.39,4.02,8778
18440,0.9,Good,J,VS2,57.9,63.0,6.32,6.35,3.67,3423
22237,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,447
14394,0.38,Ideal,G,VVS1,61.9,56.0,4.67,4.7,2.9,993
24669,0.43,Ideal,J,VS1,61.7,58.0,4.8,4.84,2.98,703
17284,1.09,Very Good,F,VS1,62.9,58.0,6.51,6.55,4.11,7598
18016,1.23,Ideal,I,VVS1,62.1,57.0,6.83,6.9,4.26,6989
16698,0.3,Ideal,E,VVS1,60.6,57.0,4.35,4.33,2.63,956
21984,0.72,Ideal,H,SI1,62.0,57.0,5.73,5.76,3.56,2361
8042,0.42,Ideal,H,VVS2,62.4,56.0,4.8,4.78,2.99,984
4604,1.08,Ideal,G,SI2,,58.0,6.55,6.57,4.06,4675
208,1.24,Ideal,G,VS2,62.0,57.0,6.87,6.84,4.25,9188
26064,1.71,Ideal,G,VS2,61.8,57.0,7.7,7.6,4.73,16817
5239,0.59,Premium,H,VVS1,62.0,58.0,5.36,5.38,3.33,1883
6321,0.38,Ideal,D,VS1,62.2,57.0,4.63,4.66,2.89,1067
26254,1.14,Ideal,H,VS2,61.6,56.0,6.68,6.72,4.13,5831
15918,0.78,Very Good,E,VS2,61.7,58.0,5.9,5.93,3.65,3334
13645,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,5000
12762,0.35,Ideal,G,VS1,60.6,56.0,4.57,4.6,2.78,706
1672,0.59,Premium,E,VS2,59.1,61.0,5.61,5.53,3.29,1641
1856,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,10639
22236,0.32,Ideal,E,VVS1,61.3,57.0,4.43,4.38,2.7,1020
22187,1.6,Ideal,F,SI1,61.1,55.0,7.55,7.58,4.62,13140
10681,0.5,Very Good,H,IF,61.3,60.0,5.08,5.17,3.14,1706
9188,1.02,Good,H,SI2,64.0,57.0,6.41,6.37,4.09,3656
18143,0.78,Ideal,D,SI1,62.2,55.0,5.92,5.95,3.69,3389
24712,1.51,Ideal,I,SI1,62.4,59.0,7.27,7.34,4.56,8752
15230,1.51,Fair,H,VS1,58.0,67.0,7.63,7.57,4.41,11263
23001,1.0,Fair,H,VS1,64.1,60.0,6.3,6.22,4.01,4732
7245,1.22,Ideal,H,VVS2,62.2,56.0,6.83,6.87,4.26,8014
406,1.09,Ideal,G,SI1,62.2,56.0,6.6,6.55,4.09,4970
18616,1.27,Ideal,F,SI2,62.0,55.0,6.95,6.9,4.3,5405
24263,0.3,Premium,E,SI1,61.3,60.0,4.28,4.24,2.61,675
12499,2.18,Premium,H,SI2,59.4,61.0,8.49,8.45,0.0,12631
24928,0.41,Ideal,J,VS1,62.4,55.0,4.75,4.77,2.97,648
416,1.03,Very Good,F,SI2,61.1,59.0,6.51,6.58,4.0,4218
22610,1.51,Ideal,H,VS1,62.6,56.0,7.32,7.28,4.57,11686
8246,0.34,Ideal,H,VS1,62.7,57.0,4.48,4.45,2.8,765
18822,0.3,Very Good,F,VS1,59.8,59.0,4.3,4.43,2.61,704
17737,0.5,Very Good,E,VVS2,61.7,61.0,5.09,5.12,3.15,2083
5024,0.41,Premium,F,VS1,62.7,58.0,4.77,4.74,2.98,1076
17475,1.2,Premium,H,SI2,62.0,58.0,6.91,6.76,4.24,5376
10899,0.74,Very Good,E,SI2,63.0,58.0,5.73,5.77,3.62,2282
22415,1.01,Very Good,D,SI1,63.1,60.0,6.39,6.32,4.01,5543
24115,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2199
657,0.33,Very Good,D,VVS2,59.5,56.0,4.51,4.56,2.7,933
21846,0.3,Ideal,H,VVS2,62.2,57.0,4.29,4.26,2.66,776
19081,1.03,Very Good,F,SI2,62.2,56.0,6.51,6.48,4.04,4449
26732,0.9,Fair,D,VS2,57.4,65.0,6.26,6.29,3.6,4277
13635,1.01,Very Good,H,SI1,63.4,59.0,6.34,6.28,4.0,4836
7899,0.92,Good,D,SI1,60.2,56.0,6.28,6.32,3.79,5259
26369,0.3,Ideal,G,VVS1,62.0,55.0,4.34,4.31,2.68,1013
7844,0.33,Ideal,E,VS2,61.9,56.0,4.46,4.43,2.75,928
7975,0.9,Very Good,J,SI1,63.2,60.0,6.12,6.09,3.86,2753
13749,0.27,Ideal,H,VVS2,61.9,55.0,4.14,4.16,2.57,496
16946,0.5,Very Good,I,SI1,62.4,58.0,5.0,5.06,3.14,1048
25107,0.31,Ideal,D,VS2,61.8,55.0,4.37,4.33,2.69,942
5976,0.46,Ideal,F,SI1,62.5,56.0,4.94,4.92,3.08,1018
13514,0.3,Premium,G,VVS1,62.1,56.0,4.31,4.29,2.67,1013
26320,1.51,Ideal,E,VS2,61.2,57.0,7.47,7.37,4.54,15025
6248,1.23,Ideal,J,SI1,61.3,54.0,6.92,6.97,4.26,5181
26842,1.42,Ideal,H,SI1,62.0,56.0,7.17,7.22,4.46,8529
3028,0.34,Ideal,D,VS1,60.9,56.0,4.56,4.51,2.76,1109
2804,1.01,Very Good,I,SI1,63.5,53.0,6.32,6.4,4.04,4794
473,0.41,Premium,F,VVS2,61.0,59.0,4.82,4.79,2.93,1192
7100,0.42,Good,H,SI1,63.2,58.0,4.77,4.79,3.02,700
18898,0.5,Very Good,D,VS2,63.3,54.0,5.07,5.04,3.2,1758
1740,1.21,Premium,H,VS2,59.3,60.0,6.99,6.93,4.13,6974
18125,0.51,Ideal,F,VVS2,60.3,56.0,5.2,5.23,3.15,2138
1790,0.31,Ideal,H,SI1,61.3,57.0,4.36,4.38,2.68,421
2635,0.98,Very Good,G,SI2,62.2,57.0,6.33,6.37,3.95,4542
25847,0.33,Ideal,E,VS1,60.0,57.0,4.5,4.47,2.69,802
21853,0.72,Ideal,G,VS1,61.8,56.0,5.74,5.76,3.55,3478
22649,1.1,Ideal,G,VS2,61.9,57.0,6.63,6.57,4.09,7540
19853,0.32,Ideal,J,VVS1,62.3,54.0,4.41,4.43,2.75,494
4180,0.71,Very Good,I,SI2,62.2,58.0,5.61,5.7,3.52,1902
19043,0.35,Premium,J,VS1,62.2,58.0,4.54,4.49,2.81,591
12510,0.76,Premium,D,SI1,61.1,59.0,5.93,5.88,3.61,2847
15861,0.55,Ideal,D,VS2,61.0,56.0,5.28,5.31,3.23,1645
13358,1.26,Ideal,H,SI1,61.0,56.0,7.0,7.04,4.28,6715
26533,0.41,Premium,J,VVS1,62.2,59.0,4.75,4.71,2.94,994
21305,0.72,Very Good,D,VS2,61.0,59.0,5.74,5.77,3.51,2697
13717,0.3,Premium,D,VS2,60.6,58.0,4.36,4.32,2.63,911
15871,0.82,Very Good,E,SI1,63.2,57.0,5.92,5.97,3.76,2741
12094,1.23,Premium,F,VS1,60.8,58.0,6.94,6.9,4.21,9471
25519,0.37,Premium,E,VS2,61.1,57.0,4.66,4.63,2.84,1041
12835,0.3,Very Good,D,VS2,62.5,57.0,4.26,4.28,2.67,670
2751,0.33,Very Good,G,VVS2,60.0,63.0,4.49,4.45,2.68,965
20743,2.0,Ideal,I,SI2,61.7,56.0,8.0,8.13,4.98,15092
6069,0.7,Very Good,E,VS1,62.0,59.0,5.65,5.68,3.51,2844
21796,1.05,Ideal,G,VS2,61.1,57.0,6.55,6.52,3.99,5504
13904,0.56,Very Good,E,VVS2,60.7,57.0,5.31,5.36,3.24,2442
24394,1.09,Good,H,SI1,63.6,56.0,6.53,6.56,4.16,4920
5878,0.42,Ideal,I,VVS1,62.7,55.0,4.8,4.77,3.0,945
16191,0.71,Very Good,I,VVS2,60.6,56.0,5.82,5.77,3.51,2586
7297,1.21,Good,J,IF,62.1,60.0,6.81,6.87,4.25,6299
9923,1.1,Very Good,F,SI1,60.5,60.0,6.65,6.67,4.03,5667
23697,1.21,Very Good,F,SI1,60.2,60.0,6.92,6.96,4.18,7877
15598,0.32,Ideal,E,VVS2,61.5,57.0,4.4,4.41,2.71,842
3953,0.54,Ideal,D,VS2,61.9,55.0,5.23,5.24,3.24,1817
9796,1.11,Ideal,E,IF,61.8,55.0,6.65,6.69,4.12,15464
16978,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,9092
26260,0.5,Very Good,E,VS2,62.7,54.0,5.07,5.1,3.19,1624
26229,0.71,Premium,H,SI1,62.4,62.0,5.67,5.64,3.53,2207
22046,0.33,Ideal,G,VVS1,62.3,55.0,4.46,4.43,2.77,1114
20983,0.71,Premium,E,VS2,59.0,59.0,5.88,5.78,3.44,2735
